Marca temporal,¿Qué tan probable crees que la Inteligencia Artificial cambiará significativamente el ámbito de la informática en los próximos 5 años?,¿Apoyas la integración de tecnologías basadas en IA en el desarrollo de software y sistemas informáticos?,¿Consideras que la IA podría reemplazar ciertos roles dentro de la ingeniería informática?,¿Con qué frecuencia utiliza Chatbots para obtener ayuda para realizar su trabajo?,¿Te preocupa que la evolución de la IA haga obsoletas algunas habilidades de ingeniería informática?,¿Consideras necesaria una regulación ética específica para el uso de IA en el desarrollo de sistemas informáticos?,¿Cómo impactan las nuevas herramientas basadas en IA en tu trabajo diario?,¿Qué tan dispuesto estás a aprender nuevas habilidades relacionadas con la IA para adaptarte a su uso en la ingeniería informática?,¿Consideras que la IA representará más riesgos o beneficios para la sociedad en general dentro de la informática?
31/01/2025 17:09:19,Bastante probable,"Sí, totalmente","No, solamente complementará el trabajo",En ocasiones puntuales,Apenas me preocupa,"No, en absoluto",Me generan dudas o desconcierto,Totalmente dispuesto,Más beneficios
31/01/2025 18:22:28,Bastante probable,"Sí, en algunos casos","Sí, en bastantes áreas",Nunca,"Sí, me preocupa bastante","Sí, es fundamental",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
31/01/2025 18:25:01,Algo Probable,"Sí, en bastantes casos","Sí, en algunas áreas",En bastantes ocasiones,"Sí, me preocupa algo","Sí, es fundamental",Es una herramienta más,Bastante dispuesto,Más riesgos
31/01/2025 19:10:59,Bastante probable,"Sí, en algunos casos","Sí, en bastantes áreas",Nunca,"Sí, me preocupa bastante","Sí, es fundamental",No afectan mi trabajo,Algo dispuesto,Un equilibrio entre ambos
31/01/2025 19:18:05,Bastante probable,"Sí, totalmente","Sí, en bastantes áreas",En algunas ocasiones,"Sí, me preocupa algo","Sí, en bastantes aspectos",Mejoran mi productividad,Bastante dispuesto,Más beneficios
31/01/2025 21:46:04,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, me preocupa algo","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
1/02/2025 9:13:09,Algo Probable,"Sí, en bastantes casos","No, solamente complementará el trabajo",Constantemente,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Mejoran mi productividad,Bastante dispuesto,Más beneficios
1/02/2025 11:54:37,Con certeza,"No, solamente en casos excepcionales","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, es mi preocupación principal","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Más riesgos
1/02/2025 17:15:15,Bastante probable,"Sí, en bastantes casos","Sí, en bastantes áreas",Constantemente,"Sí, me preocupa bastante","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Más beneficios
3/02/2025 17:21:00,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
3/02/2025 17:21:18,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",Constantemente,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
3/02/2025 17:24:29,Algo Probable,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa algo","Sí, pero debería ser flexible",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
3/02/2025 17:28:36,Con certeza,"Sí, totalmente","Sí, en algunas áreas",En bastantes ocasiones,"No, en absoluto","Sí, es fundamental",Mejoran mi productividad,Bastante dispuesto,Más beneficios
3/02/2025 17:36:05,Con certeza,"Sí, en algunos casos","Sí, en algunas áreas",En ocasiones puntuales,"Sí, me preocupa algo","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
3/02/2025 19:16:05,Con certeza,"Sí, totalmente","No, solamente complementará el trabajo",En algunas ocasiones,"No, en absoluto","Sí, pero debería ser flexible",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
3/02/2025 19:40:41,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",En algunas ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Mejoran mi productividad,Bastante dispuesto,Más beneficios
3/02/2025 19:46:59,Bastante probable,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa algo","Sí, es fundamental",Es una herramienta más,Algo dispuesto,Un equilibrio entre ambos
3/02/2025 19:53:43,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",Nunca,"Sí, me preocupa algo","Sí, pero debería ser flexible",Es una herramienta más,Algo dispuesto,Más beneficios
3/02/2025 19:57:30,Con certeza,"Sí, totalmente","Sí, en todas las áreas",Constantemente,Apenas me preocupa,"No, en absoluto",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
3/02/2025 20:01:04,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa algo","Sí, pero debería ser flexible",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
3/02/2025 20:44:43,Con certeza,"Sí, totalmente","Sí, en algunas áreas",En ocasiones puntuales,Apenas me preocupa,"Sí, en bastantes aspectos",Es una herramienta más,Totalmente dispuesto,Más beneficios
3/02/2025 21:21:26,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, me preocupa algo","Sí, en bastantes aspectos",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
3/02/2025 22:35:03,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
3/02/2025 23:45:47,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
4/02/2025 4:36:32,Con certeza,"Sí, en bastantes casos","Sí, en bastantes áreas",En bastantes ocasiones,Apenas me preocupa,"Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
4/02/2025 7:46:22,Bastante probable,"Sí, en algunos casos","Sí, en algunas áreas",Nunca,"Sí, me preocupa bastante","Sí, es fundamental",Es una herramienta más,Algo dispuesto,Más riesgos
4/02/2025 8:15:45,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",Constantemente,"Sí, me preocupa bastante","No, solo en algunos aspectos puntuales",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
4/02/2025 8:18:25,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, me preocupa bastante","Sí, en bastantes aspectos",Es una herramienta más,Totalmente dispuesto,Más beneficios
4/02/2025 8:27:09,Bastante probable,"Sí, en bastantes casos","No, solamente complementará el trabajo",En ocasiones puntuales,"No, en absoluto","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
4/02/2025 8:32:21,Bastante probable,"Sí, en bastantes casos","Sí, en bastantes áreas",En ocasiones puntuales,"Sí, me preocupa algo","Sí, es fundamental",Mejoran mi productividad,Bastante dispuesto,Más beneficios
4/02/2025 8:43:18,Con certeza,"Sí, en algunos casos","Sí, en algunas áreas",En ocasiones puntuales,"Sí, me preocupa algo","Sí, es fundamental",Es una herramienta más,Bastante dispuesto,Más riesgos
4/02/2025 8:49:01,Algo Probable,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,"No, en absoluto","Sí, pero debería ser flexible",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
4/02/2025 9:13:33,Bastante probable,"Sí, totalmente","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Es una herramienta más,Bastante dispuesto,Más beneficios
4/02/2025 9:55:48,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más riesgos
4/02/2025 12:36:54,Con certeza,"No, solamente en casos excepcionales","Sí, en bastantes áreas",Nunca,"No, en absoluto","Sí, es fundamental",No afectan mi trabajo,Poco dispuesto,Solo riesgos
4/02/2025 12:38:33,Bastante probable,"Sí, en bastantes casos","No, solamente complementará el trabajo",En bastantes ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Mejoran mi productividad,Bastante dispuesto,Más beneficios
4/02/2025 15:57:36,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa algo","Sí, en bastantes aspectos",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
4/02/2025 18:44:38,Algo Probable,"No, nunca","No, no reemplazará ningún rol",Nunca,"No, en absoluto","Sí, es fundamental",No afectan mi trabajo,Poco dispuesto,Más riesgos
4/02/2025 21:56:54,Bastante probable,"Sí, totalmente","No, solamente complementará el trabajo",Constantemente,"Sí, me preocupa algo","Sí, en bastantes aspectos",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
4/02/2025 22:07:33,Con certeza,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, en bastantes aspectos",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
4/02/2025 23:44:32,Bastante probable,"Sí, en bastantes casos","Sí, en bastantes áreas",En ocasiones puntuales,"Sí, me preocupa bastante","Sí, pero debería ser flexible",Mejoran mi productividad,Bastante dispuesto,Un equilibrio entre ambos
5/02/2025 3:07:50,Bastante probable,"Sí, totalmente","No, solamente complementará el trabajo",Nunca,"No, en absoluto","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Más beneficios
5/02/2025 7:57:12,Con certeza,"Sí, totalmente","Sí, en bastantes áreas",En algunas ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Es una herramienta más,Totalmente dispuesto,Más beneficios
5/02/2025 21:50:19,Bastante probable,"Sí, en algunos casos","No, solamente complementará el trabajo",En bastantes ocasiones,"Sí, me preocupa algo","Sí, en bastantes aspectos",Mejoran mi productividad,Bastante dispuesto,Un equilibrio entre ambos
5/02/2025 21:50:24,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En ocasiones puntuales,Apenas me preocupa,"Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Más riesgos
5/02/2025 21:51:48,Con certeza,"Sí, en bastantes casos","No, solamente complementará el trabajo",En algunas ocasiones,Apenas me preocupa,"Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
5/02/2025 21:54:35,Con certeza,"Sí, totalmente","Sí, en algunas áreas",En bastantes ocasiones,"Sí, me preocupa algo","Sí, pero debería ser flexible",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
5/02/2025 21:56:51,Con certeza,"Sí, totalmente","No, solamente complementará el trabajo",En bastantes ocasiones,"Sí, me preocupa algo","No, solo en algunos aspectos puntuales",Es una herramienta más,Totalmente dispuesto,Más beneficios
5/02/2025 22:01:52,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Es una herramienta más,Bastante dispuesto,Más beneficios
5/02/2025 22:09:47,Bastante probable,"Sí, en algunos casos","Sí, en bastantes áreas",En ocasiones puntuales,"No, en absoluto","Sí, es fundamental",Es una herramienta más,Algo dispuesto,Más riesgos
5/02/2025 22:10:27,Bastante probable,"Sí, en bastantes casos","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, me preocupa algo","Sí, en bastantes aspectos",Mejoran mi productividad,Bastante dispuesto,Un equilibrio entre ambos
5/02/2025 22:12:15,Bastante probable,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"Sí, en bastantes aspectos",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
5/02/2025 22:14:19,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En bastantes ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
5/02/2025 22:15:17,Bastante probable,"Sí, en bastantes casos","No, solamente complementará el trabajo",Nunca,"Sí, me preocupa algo","No, solo en algunos aspectos puntuales",Mejoran mi productividad,Bastante dispuesto,Un equilibrio entre ambos
5/02/2025 22:15:49,Bastante probable,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Mejoran mi productividad,Bastante dispuesto,Más riesgos
5/02/2025 22:16:19,Con certeza,"Sí, totalmente","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"Sí, pero debería ser flexible",Mejoran mi productividad,Algo dispuesto,Más beneficios
5/02/2025 22:29:27,Con certeza,"Sí, totalmente","No, solamente complementará el trabajo",En algunas ocasiones,"No, en absoluto","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
5/02/2025 22:35:33,Bastante probable,"No, solamente en casos excepcionales","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, en bastantes aspectos",Mejoran mi productividad,Bastante dispuesto,Más riesgos
5/02/2025 22:40:23,Bastante probable,"Sí, en bastantes casos","Sí, en bastantes áreas",En bastantes ocasiones,Apenas me preocupa,"Sí, pero debería ser flexible",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
5/02/2025 22:42:46,Con certeza,"Sí, en bastantes casos","No, solamente complementará el trabajo",En algunas ocasiones,"Sí, me preocupa algo","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
5/02/2025 22:44:07,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En ocasiones puntuales,"Sí, es mi preocupación principal","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
5/02/2025 22:59:01,Con certeza,"Sí, totalmente","Sí, en algunas áreas",Constantemente,Apenas me preocupa,"Sí, en bastantes aspectos",Mejoran mi productividad,Bastante dispuesto,Más beneficios
5/02/2025 23:03:41,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
5/02/2025 23:54:05,Con certeza,"Sí, en algunos casos","No, solamente complementará el trabajo",En bastantes ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Mejoran mi productividad,Bastante dispuesto,Más beneficios
5/02/2025 23:59:49,Bastante probable,"Sí, totalmente","No, solamente complementará el trabajo",En bastantes ocasiones,Apenas me preocupa,"Sí, en bastantes aspectos",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
6/02/2025 0:19:01,Bastante probable,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
6/02/2025 6:28:16,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa algo","Sí, pero debería ser flexible",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
6/02/2025 6:38:29,Con certeza,"Sí, totalmente","No, solamente complementará el trabajo",En ocasiones puntuales,"Sí, me preocupa algo","Sí, en bastantes aspectos",Mejoran mi productividad,Bastante dispuesto,Más beneficios
6/02/2025 7:03:00,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa algo","Sí, pero debería ser flexible",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
6/02/2025 8:41:26,Con certeza,"No, solamente en casos excepcionales","Sí, en bastantes áreas",En ocasiones puntuales,"Sí, me preocupa bastante","Sí, es fundamental",Me generan dudas o desconcierto,Bastante dispuesto,Un equilibrio entre ambos
6/02/2025 9:24:14,Con certeza,"Sí, totalmente","Sí, en algunas áreas",En ocasiones puntuales,Apenas me preocupa,"Sí, es fundamental",Es una herramienta más,Bastante dispuesto,Un equilibrio entre ambos
6/02/2025 10:29:57,Con certeza,"Sí, en bastantes casos","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, me preocupa bastante","No, solo en algunos aspectos puntuales",Mejoran mi productividad,Bastante dispuesto,Un equilibrio entre ambos
6/02/2025 11:43:55,Con certeza,"Sí, en bastantes casos","Sí, en bastantes áreas",En bastantes ocasiones,"Sí, es mi preocupación principal","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
6/02/2025 12:34:35,Bastante probable,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Es una herramienta más,Bastante dispuesto,Más beneficios
6/02/2025 12:45:16,Con certeza,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
6/02/2025 12:59:13,Con certeza,"Sí, totalmente","Sí, en todas las áreas",En algunas ocasiones,Apenas me preocupa,"Sí, pero debería ser flexible",Es una herramienta más,Totalmente dispuesto,Solo beneficios
6/02/2025 17:01:56,Con certeza,"Sí, totalmente","Sí, en algunas áreas",Nunca,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
6/02/2025 19:15:18,Bastante probable,"Sí, totalmente","No, solamente complementará el trabajo",En algunas ocasiones,"No, en absoluto","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Un equilibrio entre ambos
6/02/2025 22:24:07,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"Sí, pero debería ser flexible",Es una herramienta más,Algo dispuesto,Más beneficios
7/02/2025 13:09:58,Con certeza,"Sí, totalmente","Sí, en todas las áreas",En bastantes ocasiones,"Sí, me preocupa bastante","Sí, en bastantes aspectos",Mejoran mi productividad,Bastante dispuesto,Más beneficios
7/02/2025 14:00:10,Con certeza,"Sí, totalmente","Sí, en algunas áreas",En ocasiones puntuales,Apenas me preocupa,"Sí, es fundamental",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
7/02/2025 15:40:23,Bastante probable,"No, nunca","No, solamente complementará el trabajo",Nunca,"Sí, me preocupa bastante","Sí, es fundamental",No afectan mi trabajo,Nada dispuesto,Más riesgos
8/02/2025 0:23:55,Bastante probable,"Sí, en algunos casos","No, solamente complementará el trabajo",En algunas ocasiones,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Mejoran mi productividad,Bastante dispuesto,Un equilibrio entre ambos
8/02/2025 16:11:37,Con certeza,"Sí, en algunos casos","Sí, en algunas áreas",Nunca,"Sí, me preocupa algo","Sí, pero debería ser flexible",Es una herramienta más,Totalmente dispuesto,Más beneficios
9/02/2025 19:08:04,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En bastantes ocasiones,"Sí, es mi preocupación principal","Sí, es fundamental",Mejoran mi productividad,Totalmente dispuesto,Más beneficios
10/02/2025 12:35:33,Con certeza,"Sí, totalmente","Sí, en algunas áreas",En ocasiones puntuales,Apenas me preocupa,"No, solo en algunos aspectos puntuales",Es una herramienta más,Totalmente dispuesto,Un equilibrio entre ambos
13/02/2025 16:39:33,Bastante probable,"Sí, totalmente","No, solamente complementará el trabajo",En bastantes ocasiones,Apenas me preocupa,"Sí, pero debería ser flexible",Es una herramienta más,Totalmente dispuesto,Más beneficios
17/02/2025 10:05:26,Con certeza,"Sí, en bastantes casos","No, solamente complementará el trabajo",En ocasiones puntuales,"Sí, me preocupa algo","No, solo en algunos aspectos puntuales",Es una herramienta más,Bastante dispuesto,Más beneficios
18/02/2025 12:18:29,Con certeza,"Sí, en bastantes casos","Sí, en algunas áreas",En algunas ocasiones,"Sí, me preocupa bastante","Sí, es fundamental",Mejoran mi productividad,Bastante dispuesto,Un equilibrio entre ambos
5/03/2025 18:12:15,Algo Probable,"Sí, en algunos casos","Sí, en algunas áreas",En algunas ocasiones,Apenas me preocupa,"Sí, es fundamental",Mejoran mi productividad,Bastante dispuesto,Más riesgos
